"","titulo","duracion","voto_promedio","numero_votos","ano","genero"
"47","Assassins",132,6,394,1995,"accion"
"48","Assassins",132,6,394,1995,"adventura"
"49","Assassins",132,6,394,1995,"suspenso"
"50","Powder",111,6.3,143,1995,"drama"
"51","Powder",111,6.3,143,1995,"fantasia"
"52","Powder",111,6.3,143,1995,"ciencia ficcion"
"53","Powder",111,6.3,143,1995,"suspenso"
"54","Leaving Las Vegas",112,7.1,365,1995,"drama"
"55","Leaving Las Vegas",112,7.1,365,1995,"romance"
"56","Othello",123,7,33,1995,"drama"
"57","Now and Then",100,6.6,91,1995,"comedia"
"58","Now and Then",100,6.6,91,1995,"drama"
"59","Persuasion",104,7.4,36,1995,"drama"
"60","Persuasion",104,7.4,36,1995,"romance"
"61","The City of Lost Children",108,7.6,308,1995,"fantasia"
"62","The City of Lost Children",108,7.6,308,1995,"ciencia ficcion"
"63","The City of Lost Children",108,7.6,308,1995,"adventura"
"64","Shanghai Triad",108,6.5,17,1995,"drama"
"65","Dangerous Minds",99,6.4,249,1995,"drama"
"66","Twelve Monkeys",129,7.4,2470,1995,"ciencia ficcion"
"67","Twelve Monkeys",129,7.4,2470,1995,"suspenso"
"68","Twelve Monkeys",129,7.4,2470,1995,"misterio"
"69","Wings of Courage",50,6.8,4,1996,"romance"
"70","Wings of Courage",50,6.8,4,1996,"adventura"
"71","Babe",89,6,756,1995,"fantasia"
"72","Babe",89,6,756,1995,"drama"
"73","Babe",89,6,756,1995,"comedia"
"74","Carrington",121,6.4,16,1995,"drama"
"75","Carrington",121,6.4,16,1995,"romance"
"76","Dead Man Walking",122,7.3,350,1995,"drama"
"77","Across the Sea of Time",51,3.5,2,1995,"adventura"
"78","Across the Sea of Time",51,3.5,2,1995,"drama"
"79","It Takes Two",101,6.1,149,1995,"comedia"
"80","It Takes Two",101,6.1,149,1995,"romance"
"81","Clueless",97,6.9,828,1995,"comedia"
"82","Clueless",97,6.9,828,1995,"drama"
"83","Clueless",97,6.9,828,1995,"romance"
"84","Cry, the Beloved Country",106,6.7,13,1995,"drama"
"85","Richard III",104,6.9,50,1995,"drama"
"86","Richard III",104,6.9,50,1995,"guerra"
"87","Dead Presidents",119,6.6,80,1995,"accion"
"88","Dead Presidents",119,6.6,80,1995,"drama"
"89","Restoration",117,6.3,30,1995,"drama"
"90","Restoration",117,6.3,30,1995,"romance"
"91","Mortal Kombat",101,5.4,452,1995,"accion"
"92","Mortal Kombat",101,5.4,452,1995,"fantasia"
"93","To Die For",106,6.7,177,1995,"fantasia"
"94","To Die For",106,6.7,177,1995,"drama"
"95","To Die For",106,6.7,177,1995,"comedia"
"96","To Die For",106,6.7,177,1995,"suspenso"
"97","How To Make An American Quilt",116,6.5,38,1995,"drama"
"98","How To Make An American Quilt",116,6.5,38,1995,"romance"
"99","Se7en",127,8.1,5915,1995,"misterio"
"100","Se7en",127,8.1,5915,1995,"suspenso"
"101","Pocahontas",81,6.7,1509,1995,"adventura"
"102","Pocahontas",81,6.7,1509,1995,"animacion"
"103","Pocahontas",81,6.7,1509,1995,"drama"
"104","When Night Is Falling",96,5.9,10,1995,"drama"
"105","When Night Is Falling",96,5.9,10,1995,"romance"
"106","The Usual Suspects",106,8.1,3334,1995,"drama"
"107","The Usual Suspects",106,8.1,3334,1995,"suspenso"
"108","Guardian Angel",93,6.3,3,1994,"accion"
"109","Guardian Angel",93,6.3,3,1994,"suspenso"
"110","Guardian Angel",93,6.3,3,1994,"drama"
"111","Mighty Aphrodite",95,6.7,145,1995,"comedia"
"112","Mighty Aphrodite",95,6.7,145,1995,"romance"
"113","Lamerica",116,7.7,11,1994,"drama"
"114","The Big Green",100,5.2,41,1995,"accion"
"115","The Big Green",100,5.2,41,1995,"adventura"
"116","The Big Green",100,5.2,41,1995,"comedia"
"117","Georgia",115,6.1,15,1995,"drama"
"118","Home for the Holidays",103,6.3,39,1995,"comedia"
"119","Home for the Holidays",103,6.3,39,1995,"drama"
"120","Home for the Holidays",103,6.3,39,1995,"romance"
"121","The Postman",108,7.6,181,1994,"comedia"
"122","The Postman",108,7.6,181,1994,"drama"
"123","The Postman",108,7.6,181,1994,"romance"
"124","The Confessional",100,6.5,2,1995,"suspenso"
"125","The Confessional",100,6.5,2,1995,"drama"
"126","The Confessional",100,6.5,2,1995,"misterio"
"127","The Indian in the Cupboard",96,5.9,136,1995,"adventura"
"128","The Indian in the Cupboard",96,5.9,136,1995,"fantasia"
"129","Eye for an Eye",101,5.8,65,1996,"drama"
"130","Eye for an Eye",101,5.8,65,1996,"suspenso"
"131","Mr. Holland's Opus",137,6.9,115,1995,"musical"
"132","Mr. Holland's Opus",137,6.9,115,1995,"drama"
"133","Don't Be a Menace to South Central While Drinking Your Juice in the Hood",89,6.2,192,1996,"comedia"
"134","Two If by Sea",96,4.5,14,1996,"comedia"
"135","Two If by Sea",96,4.5,14,1996,"romance"
"136","Bio-Dome",88,4.4,110,1996,"comedia"
"137","Lawnmower Man 2: Beyond Cyberspace",92,2.8,32,1996,"accion"
"138","Lawnmower Man 2: Beyond Cyberspace",92,2.8,32,1996,"ciencia ficcion"
"139","Two Bits",85,5.4,11,1995,"drama"
"140","French Twist",95,6,43,1995,"comedia"
"141","French Twist",95,6,43,1995,"romance"
"142","Friday",91,7,513,1995,"comedia"
"143","From Dusk Till Dawn",108,6.9,1644,1996,"terror"
"144","From Dusk Till Dawn",108,6.9,1644,1996,"accion"
"145","From Dusk Till Dawn",108,6.9,1644,1996,"suspenso"
"146","Fair Game",91,4.1,54,1995,"accion"
"147","Fair Game",91,4.1,54,1995,"suspenso"
"148","Fair Game",91,4.1,54,1995,"romance"
"149","Kicking and Screaming",96,7,36,1995,"comedia"
"150","Kicking and Screaming",96,7,36,1995,"drama"
"151","Kicking and Screaming",96,7,36,1995,"romance"
"152","Les Miserables",175,6.6,8,1995,"drama"
"153","Bed of Roses",87,5.1,27,1996,"drama"
"154","Bed of Roses",87,5.1,27,1996,"romance"
"155","Big Bully",90,3.9,16,1996,"comedia"
"156","Screamers",108,6.1,154,1995,"terror"
"157","Screamers",108,6.1,154,1995,"ciencia ficcion"
"158","Nico Icon",70,7.3,3,1995,"documental"
"159","The Crossing Guard",111,6.1,74,1995,"drama"
"160","The Crossing Guard",111,6.1,74,1995,"suspenso"
"161","The Juror",118,5.5,91,1996,"drama"
"162","The Juror",118,5.5,91,1996,"suspenso"
"163","The White Balloon",85,7.5,20,1995,"drama"
"164","Things to Do in Denver When You're Dead",116,6.7,87,1995,"drama"
"165","Antonia's Line",102,7.2,26,1995,"drama"
"166","Antonia's Line",102,7.2,26,1995,"comedia"
"167","Once Upon a Time... When We Were Colored",115,4.5,2,1996,"romance"
"168","Once Upon a Time... When We Were Colored",115,4.5,2,1996,"drama"
"169","Angels and Insects",118,6.3,17,1995,"drama"
"170","Angels and Insects",118,6.3,17,1995,"romance"
"171","White Squall",129,6.3,86,1996,"accion"
"172","White Squall",129,6.3,86,1996,"drama"
"173","Dunston Checks In",88,5.1,59,1996,"adventura"
"174","Dunston Checks In",88,5.1,59,1996,"comedia"
"175","Black Sheep",87,6,124,1996,"comedia"
"176","Nick of Time",90,6.1,190,1995,"drama"
"177","Nick of Time",90,6.1,190,1995,"suspenso"
"178","The Journey of August King",91,6.7,3,1995,"drama"
"179","Mary Reilly",104,5.7,77,1996,"drama"
"180","Mary Reilly",104,5.7,77,1996,"terror"
"181","Mary Reilly",104,5.7,77,1996,"suspenso"
"182","Mary Reilly",104,5.7,77,1996,"romance"
"183","Vampire in Brooklyn",100,4.5,113,1995,"comedia"
"184","Vampire in Brooklyn",100,4.5,113,1995,"terror"
"185","Vampire in Brooklyn",100,4.5,113,1995,"romance"
"186","Beautiful Girls",112,6.6,103,1996,"comedia"
"187","Beautiful Girls",112,6.6,103,1996,"drama"
"188","Beautiful Girls",112,6.6,103,1996,"romance"
"189","Broken Arrow",108,5.7,459,1996,"accion"
"190","Broken Arrow",108,5.7,459,1996,"adventura"
"191","Broken Arrow",108,5.7,459,1996,"drama"
"192","Broken Arrow",108,5.7,459,1996,"suspenso"
"193","A Midwinter's Tale",99,7.5,6,1995,"comedia"
"194","La Haine",98,7.9,695,1995,"drama"
"195","Shopping",105,5.6,13,1994,"accion"
"196","Shopping",105,5.6,13,1994,"adventura"
"197","Shopping",105,5.6,13,1994,"drama"
"198","Shopping",105,5.6,13,1994,"ciencia ficcion"
"199","Shopping",105,5.6,13,1994,"suspenso"
"200","Heidi Fleiss: Hollywood Madam",106,6.8,4,1995,"documental"
"201","City Hall",111,6,67,1996,"drama"
"202","City Hall",111,6,67,1996,"suspenso"
"203","Bottle Rocket",91,6.8,285,1996,"comedia"
"204","Bottle Rocket",91,6.8,285,1996,"drama"
"205","Mr. Wrong",96,3.3,16,1996,"comedia"
"206","Mr. Wrong",96,3.3,16,1996,"romance"
"207","Unforgettable",106,5.3,22,1996,"drama"
"208","Unforgettable",106,5.3,22,1996,"misterio"
"209","Unforgettable",106,5.3,22,1996,"ciencia ficcion"
"210","Unforgettable",106,5.3,22,1996,"suspenso"
"211","Happy Gilmore",92,6.5,767,1996,"comedia"
"212","The Bridges of Madison County",135,7.3,397,1995,"drama"
"213","The Bridges of Madison County",135,7.3,397,1995,"romance"
"214","Nobody Loves Me",104,5.1,5,1994,"drama"
"215","Nobody Loves Me",104,5.1,5,1994,"comedia"
"216","Muppet Treasure Island",100,6.5,93,1996,"accion"
"217","Muppet Treasure Island",100,6.5,93,1996,"comedia"
"218","Muppet Treasure Island",100,6.5,93,1996,"musical"
"219","Muppet Treasure Island",100,6.5,93,1996,"adventura"
"220","Catwalk",95,7,2,1995,"documental"
"221","Braveheart",177,7.7,3404,1995,"accion"
"222","Braveheart",177,7.7,3404,1995,"drama"
"223","Braveheart",177,7.7,3404,1995,"guerra"
"224","Taxi Driver",114,8.1,2632,1976,"drama"
"225","Rumble in the Bronx",91,6.5,245,1995,"accion"
"226","Rumble in the Bronx",91,6.5,245,1995,"comedia"
"227","Rumble in the Bronx",91,6.5,245,1995,"suspenso"
"228","Before and After",108,5.8,37,1996,"drama"
"229","Before and After",108,5.8,37,1996,"suspenso"
"230","Margaret's Museum",114,7.5,2,1995,"drama"
"231","Happiness Is in the Field",106,7,23,1995,"comedia"
"232","Anne Frank Remembered",117,7.3,4,1995,"documental"
"233","Anne Frank Remembered",117,7.3,4,1995,"drama"
"234","The Young Poisoner's Handbook",99,6.9,19,1995,"comedia"
"235","The Young Poisoner's Handbook",99,6.9,19,1995,"drama"
"236","If Lucy Fell",92,5.4,11,1996,"comedia"
"237","If Lucy Fell",92,5.4,11,1996,"romance"
"238","Steal Big Steal Little",113,5.1,7,1995,"comedia"
"239","Steal Big Steal Little",113,5.1,7,1995,"drama"
"240","Race the Sun",100,5.2,21,1996,"accion"
"241","Race the Sun",100,5.2,21,1996,"adventura"
"242","Race the Sun",100,5.2,21,1996,"comedia"
"243","Race the Sun",100,5.2,21,1996,"drama"
"244","The Boys of St. Vincent",90,7,7,1992,"drama"
"245","Boomerang",117,5.4,139,1992,"comedia"
"246","Boomerang",117,5.4,139,1992,"romance"
"247","Chungking Express",102,7.9,249,1994,"drama"
"248","Chungking Express",102,7.9,249,1994,"comedia"
"249","Chungking Express",102,7.9,249,1994,"romance"
"250","The Star Maker",113,6.8,29,1995,"drama"
"251","The Star Maker",113,6.8,29,1995,"romance"
"252","Flirting with Disaster",92,6.3,66,1996,"comedia"
"253","Flirting with Disaster",92,6.3,66,1996,"romance"
"254","The Neverending Story III: Escape from Fantasia",95,4.4,105,1994,"fantasia"
"255","The Silences of the Palace",116,4.3,3,1994,"drama"
"256","Pie in the Sky",95,7,2,1996,"comedia"
"257","Pie in the Sky",95,7,2,1996,"romance"
"258","Angela",99,5.6,9,1995,"comedia"
"259","Angela",99,5.6,9,1995,"drama"
"260","Frankie Starlight",101,5.4,4,1995,"drama"
"261","Frankie Starlight",101,5.4,4,1995,"romance"
"262","Frankie Starlight",101,5.4,4,1995,"guerra"
"263","Jade",95,5.1,45,1995,"accion"
"264","Jade",95,5.1,45,1995,"suspenso"
"265","Jade",95,5.1,45,1995,"misterio"
"266","Jade",95,5.1,45,1995,"romance"
"267","Nueba Yol",102,5.5,1,1995,"comedia"
"268","Nueba Yol",102,5.5,1,1995,"drama"
"269","Nueba Yol",102,5.5,1,1995,"romance"
"270","Sonic Outlaws",87,0,0,1995,"musical"
"271","Sonic Outlaws",87,0,0,1995,"documental"
"272","Down Periscope",92,5.6,110,1996,"comedia"
"273","From the Journals of Jean Seberg",97,6.5,2,1995,"documental"
"274","Man of the Year",86,3.8,2,1995,"comedia"
"275","The Neon Bible",91,7.2,5,1995,"drama"
"276","Up Close & Personal",119,5.9,51,1996,"drama"
"277","Up Close & Personal",119,5.9,51,1996,"romance"
"278","The Birdcage",117,6.7,303,1996,"comedia"
"279","Virgin Mary",125,7,2,1995,"drama"
"280","The Brothers McMullen",98,6.3,23,1995,"comedia"
"281","The Brothers McMullen",98,6.3,23,1995,"drama"
"282","The Brothers McMullen",98,6.3,23,1995,"romance"
"283","Bad Boys",118,6.5,1729,1995,"accion"
"284","Bad Boys",118,6.5,1729,1995,"comedia"
"285","Bad Boys",118,6.5,1729,1995,"suspenso"
"286","The Amazing Panda Adventure",81,5,31,1995,"accion"
"287","The Amazing Panda Adventure",81,5,31,1995,"adventura"
"288","The Amazing Panda Adventure",81,5,31,1995,"drama"
"289","The Basketball Diaries",102,7.2,472,1995,"drama"
"290","An Awfully Big Adventure",113,6,11,1995,"romance"
"291","An Awfully Big Adventure",113,6,11,1995,"drama"
"292","An Awfully Big Adventure",113,6,11,1995,"comedia"
"293","Amateur",105,6.5,21,1994,"comedia"
"294","Amateur",105,6.5,21,1994,"drama"
"295","Amateur",105,6.5,21,1994,"suspenso"
"296","Apollo 13",140,7.3,1637,1995,"drama"
"297","Rob Roy",139,6.5,151,1995,"adventura"
"298","The Addiction",82,6.4,46,1995,"drama"
"299","The Addiction",82,6.4,46,1995,"terror"
"300","Batman Forever",121,5.2,1529,1995,"accion"
"301","Batman Forever",121,5.2,1529,1995,"fantasia"
"302","Beyond Rangoon",100,6.4,21,1995,"drama"
"303","Beyond Rangoon",100,6.4,21,1995,"suspenso"
"304","Blue in the Face",83,6.8,28,1995,"comedia"
"305","Canadian Bacon",91,5.9,57,1995,"accion"
"306","Canadian Bacon",91,5.9,57,1995,"comedia"
"307","Casper",100,6,1045,1995,"fantasia"
"308","Casper",100,6,1045,1995,"comedia"
"309","Clockers",128,6.8,69,1995,"misterio"
"310","Clockers",128,6.8,69,1995,"drama"
"311","Congo",109,5,214,1995,"accion"
"312","Congo",109,5,214,1995,"adventura"
"313","Congo",109,5,214,1995,"drama"
"314","Congo",109,5,214,1995,"misterio"
"315","Congo",109,5,214,1995,"ciencia ficcion"
"316","Congo",109,5,214,1995,"suspenso"
"317","Crimson Tide",116,7,508,1995,"accion"
"318","Crimson Tide",116,7,508,1995,"suspenso"
"319","Crimson Tide",116,7,508,1995,"drama"
"320","Crumb",119,7.6,71,1994,"documental"
"321","Desperado",104,6.8,898,1995,"suspenso"
"322","Desperado",104,6.8,898,1995,"accion"
"323","Devil in a Blue Dress",102,6.3,88,1995,"drama"
"324","Devil in a Blue Dress",102,6.3,88,1995,"misterio"
"325","Devil in a Blue Dress",102,6.3,88,1995,"suspenso"
"326","Die Hard: With a Vengeance",128,6.9,2094,1995,"accion"
"327","Die Hard: With a Vengeance",128,6.9,2094,1995,"suspenso"
"328","The Doom Generation",80,5.6,57,1995,"accion"
"329","The Doom Generation",80,5.6,57,1995,"comedia"
"330","The Doom Generation",80,5.6,57,1995,"drama"
"331","Feast of July",116,0,0,1995,"drama"
"332","First Knight",134,5.9,319,1995,"accion"
"333","First Knight",134,5.9,319,1995,"adventura"
"334","First Knight",134,5.9,319,1995,"drama"
"335","First Knight",134,5.9,319,1995,"romance"
"336","Free Willy 2 - The Adventure Home",95,5.5,130,1995,"adventura"
"337","Hackers",107,6.2,406,1995,"accion"
"338","Hackers",107,6.2,406,1995,"suspenso"
"339","Hackers",107,6.2,406,1995,"drama"
"340","Jeffrey",92,6.5,19,1995,"comedia"
"341","Jeffrey",92,6.5,19,1995,"drama"
"342","Jeffrey",92,6.5,19,1995,"romance"
"343","Johnny Mnemonic",97,5.5,380,1995,"adventura"
"344","Johnny Mnemonic",97,5.5,380,1995,"accion"
"345","Johnny Mnemonic",97,5.5,380,1995,"drama"
"346","Johnny Mnemonic",97,5.5,380,1995,"ciencia ficcion"
"347","Johnny Mnemonic",97,5.5,380,1995,"suspenso"
"348","Judge Dredd",96,5.4,643,1995,"ciencia ficcion"
"349","Jury Duty",88,4,34,1995,"comedia"
"350","Jury Duty",88,4,34,1995,"drama"
"351","Kids",91,6.8,280,1995,"drama"
"352","Living in Oblivion",89,7.2,64,1995,"drama"
"353","Living in Oblivion",89,7.2,64,1995,"comedia"
"354","Lord of Illusions",119,5.9,87,1995,"misterio"
"355","Lord of Illusions",119,5.9,87,1995,"terror"
"356","Lord of Illusions",119,5.9,87,1995,"suspenso"
"357","Love & Human Remains",100,7,7,1993,"comedia"
"358","Love & Human Remains",100,7,7,1993,"drama"
"359","Mad Love",95,5.5,27,1995,"drama"
"360","Mad Love",95,5.5,27,1995,"romance"
"361","Mallrats",94,6.8,400,1995,"romance"
"362","Mallrats",94,6.8,400,1995,"comedia"
"363","Mighty Morphin Power Rangers: The Movie",92,5.2,153,1995,"accion"
"364","Mighty Morphin Power Rangers: The Movie",92,5.2,153,1995,"adventura"
"365","Mighty Morphin Power Rangers: The Movie",92,5.2,153,1995,"ciencia ficcion"
"366","Mighty Morphin Power Rangers: The Movie",92,5.2,153,1995,"fantasia"
"367","Moonlight and Valentino",100,5.6,10,1995,"comedia"
"368","Moonlight and Valentino",100,5.6,10,1995,"drama"
"369","Moonlight and Valentino",100,5.6,10,1995,"romance"
"370","Mute Witness",95,6.4,36,1995,"suspenso"
"371","Nadja",93,5.9,12,1994,"terror"
"372","Nadja",93,5.9,12,1994,"suspenso"
"373","The Net",114,5.6,359,1995,"drama"
"374","The Net",114,5.6,359,1995,"misterio"
"375","The Net",114,5.6,359,1995,"suspenso"
"376","The Net",114,5.6,359,1995,"accion"
"377","Nine Months",103,5.5,171,1995,"comedia"
"378","Party Girl",94,5.8,14,1995,"comedia"
"379","The Prophecy",98,6.4,139,1995,"fantasia"
"380","The Prophecy",98,6.4,139,1995,"terror"
"381","The Prophecy",98,6.4,139,1995,"suspenso"
"382","Reckless",91,10,1,1995,"fantasia"
"383","Reckless",91,10,1,1995,"comedia"
"384","Reckless",91,10,1,1995,"drama"
"385","Safe",119,7.2,62,1995,"drama"
"386","The Scarlet Letter",135,5.5,111,1995,"drama"
"387","The Scarlet Letter",135,5.5,111,1995,"romance"
"388","The Show",93,5.3,2,1995,"documental"
"389","Showgirls",128,4.9,261,1995,"drama"
"390","Smoke",112,7.2,115,1995,"comedia"
"391","Smoke",112,7.2,115,1995,"drama"
"392","Something to Talk About",106,5.7,60,1995,"comedia"
"393","Species",108,5.5,457,1995,"ciencia ficcion"
"394","Species",108,5.5,457,1995,"terror"
"395","Species",108,5.5,457,1995,"accion"
"396","The Stars Fell on Henrietta",109,6.6,6,1995,"drama"
"397","Strange Days",145,6.8,334,1995,"drama"
"398","Strange Days",145,6.8,334,1995,"ciencia ficcion"
"399","Strange Days",145,6.8,334,1995,"suspenso"
"400","The Tie That Binds",99,4.6,9,1995,"suspenso"
"401","Three Wishes",115,6.1,18,1995,"drama"
"402","Three Wishes",115,6.1,18,1995,"fantasia"
"403","Total Eclipse",111,6.5,112,1995,"drama"
"404","Total Eclipse",111,6.5,112,1995,"romance"
"405","To Wong Foo, Thanks for Everything! Julie Newmar",105,6.3,117,1995,"comedia"
"406","Under Siege 2: Dark Territory",100,5.6,217,1995,"accion"
"407","Under Siege 2: Dark Territory",100,5.6,217,1995,"suspenso"
"408","Unstrung Heroes",93,6.4,9,1995,"comedia"
"409","Unstrung Heroes",93,6.4,9,1995,"drama"
"410","Unzipped",73,6,6,1995,"documental"
"411","A Walk in the Clouds",103,6.5,168,1995,"drama"
"412","A Walk in the Clouds",103,6.5,168,1995,"romance"
"413","Waterworld",135,5.9,1017,1995,"adventura"
"414","Waterworld",135,5.9,1017,1995,"accion"
"415","White Man's Burden",89,5.1,25,1995,"drama"
"416","Wild Bill",98,5.9,27,1995,"accion"
"417","Wild Bill",98,5.9,27,1995,"western"
"418","The Browning Version",97,6,11,1994,"drama"
"419","Bushwhacked",90,4.9,29,1995,"adventura"
"420","Bushwhacked",90,4.9,29,1995,"accion"
"421","Bushwhacked",90,4.9,29,1995,"comedia"
"422","Burnt by the Sun",135,6.7,35,1994,"drama"
"423","Before the Rain",113,7.7,45,1994,"drama"
"424","Before the Rain",113,7.7,45,1994,"guerra"
"425","Before Sunrise",105,7.7,984,1995,"drama"
"426","Before Sunrise",105,7.7,984,1995,"romance"
"427","Billy Madison",89,6.2,464,1995,"comedia"
"428","The Babysitter",90,4.7,27,1995,"drama"
"429","The Babysitter",90,4.7,27,1995,"suspenso"
"430","Boys on the Side",115,6.3,48,1995,"comedia"
"431","Boys on the Side",115,6.3,48,1995,"drama"
"432","The Cure",97,7.2,58,1995,"drama"
"433","Castle Freak",95,5.8,40,1995,"suspenso"
"434","Castle Freak",95,5.8,40,1995,"drama"
"435","Castle Freak",95,5.8,40,1995,"terror"
"436","Castle Freak",95,5.8,40,1995,"misterio"
"437","Circle of Friends",103,6.5,30,1995,"drama"
"438","Circle of Friends",103,6.5,30,1995,"romance"
"439","Clerks",92,7.4,769,1994,"comedia"
"440","Don Juan DeMarco",97,6.3,184,1994,"romance"
"441","Don Juan DeMarco",97,6.3,184,1994,"drama"
"442","Don Juan DeMarco",97,6.3,184,1994,"comedia"
"443","Disclosure",123,5.9,217,1994,"drama"
"444","Disclosure",123,5.9,217,1994,"suspenso"
"445","Disclosure",123,5.9,217,1994,"misterio"
"446","Disclosure",123,5.9,217,1994,"romance"
"447","Dream Man",0,2.5,1,1995,"suspenso"
"448","Drop Zone",101,5.1,91,1994,"accion"
"449","Drop Zone",101,5.1,91,1994,"adventura"
"450","Drop Zone",101,5.1,91,1994,"suspenso"
"451","Destiny Turns on the Radio",0,5.3,9,1995,"comedia"
"452","Destiny Turns on the Radio",0,5.3,9,1995,"fantasia"
"453","Death and the Maiden",103,7.1,92,1994,"drama"
"454","Death and the Maiden",103,7.1,92,1994,"suspenso"
"455","Death and the Maiden",103,7.1,92,1994,"misterio"
"456","Dolores Claiborne",132,7.1,183,1995,"drama"
"457","Dolores Claiborne",132,7.1,183,1995,"misterio"
"458","Dumb and Dumber",107,6.5,1894,1994,"comedia"
"459","Eat Drink Man Woman",123,7.5,76,1994,"comedia"
"460","Eat Drink Man Woman",123,7.5,76,1994,"drama"
"461","Eat Drink Man Woman",123,7.5,76,1994,"romance"
"462","Exotica",103,6.5,64,1994,"drama"
"463","Exotica",103,6.5,64,1994,"misterio"
"464","Exit to Eden",113,4.3,28,1994,"suspenso"
"465","Exit to Eden",113,4.3,28,1994,"comedia"
"466","Exit to Eden",113,4.3,28,1994,"romance"
"467","Ed Wood",127,7.3,639,1994,"comedia"
"468","Ed Wood",127,7.3,639,1994,"drama"
"469","French Kiss",111,6.2,179,1995,"comedia"
"470","French Kiss",111,6.2,179,1995,"romance"
"471","Forget Paris",101,6.1,38,1995,"comedia"
"472","Forget Paris",101,6.1,38,1995,"drama"
"473","Forget Paris",101,6.1,38,1995,"romance"
"474","Far from Home: The Adventures of Yellow Dog",87,5.6,27,1995,"accion"
"475","Far from Home: The Adventures of Yellow Dog",87,5.6,27,1995,"adventura"
"476","Far from Home: The Adventures of Yellow Dog",87,5.6,27,1995,"drama"
"477","A Goofy Movie",78,6.7,404,1995,"romance"
"478","A Goofy Movie",78,6.7,404,1995,"animacion"
"479","A Goofy Movie",78,6.7,404,1995,"comedia"
"480","A Goofy Movie",78,6.7,404,1995,"adventura"
"481","Hideaway",103,5,24,1995,"drama"
"482","Hideaway",103,5,24,1995,"suspenso"
"483","Fluke",96,6.6,48,1995,"drama"
"484","Fluke",96,6.6,48,1995,"fantasia"
"485","Farinelli",111,5.9,20,1994,"drama"
"486","Gordy",90,3,4,1995,"drama"
"487","Gordy",90,3,4,1995,"fantasia"
"488","Gumby: The Movie",77,5,2,1995,"fantasia"
"489","Gumby: The Movie",77,5,2,1995,"animacion"
"490","Gumby: The Movie",77,5,2,1995,"ciencia ficcion"
"491","The Glass Shield",109,5.4,9,1994,"drama"
"492","The Glass Shield",109,5.4,9,1994,"accion"
"493","The Glass Shield",109,5.4,9,1994,"suspenso"
"494","Hoop Dreams",171,7.7,91,1994,"documental"
"495","Heavenly Creatures",99,6.9,299,1994,"drama"
"496","Heavenly Creatures",99,6.9,299,1994,"fantasia"
"497","Houseguest",113,6,17,1995,"comedia"
"498","Immortal Beloved",121,6.9,90,1994,"drama"
"499","Immortal Beloved",121,6.9,90,1994,"musical"
"500","Immortal Beloved",121,6.9,90,1994,"romance"
"501","Heavyweights",100,6,97,1995,"comedia"
"502","Heavyweights",100,6,97,1995,"drama"
"503","The Hunted",106,6,25,1995,"accion"
