Id_Cliente,Genero,Edad,Ingreso,Puntaje_Gasto
89,Mujer,46,54827.74,44
90,Hombre,69,44346.14,46
91,Hombre,24,37682.87,92
92,Hombre,70,45222.06,56
93,Mujer,41,101102.93,17
94,Mujer,31,69895.02,77
95,Mujer,30,77556.33,78
96,Mujer,60,50085.87,56
97,Hombre,20,20989.64,66
98,Hombre,42,85345.9,20
99,Mujer,49,34051.27,14
100,Hombre,68,64156.37,43
101,Mujer,27,40443.31,47
102,Mujer,22,15766.84,76
103,Hombre,48,60785.96,49
104,Hombre,65,63550.62,52
105,Mujer,21,54254.49,57
106,Mujer,46,24402.32,5
107,Hombre,57,54960.6,51
108,Hombre,32,138584.52,18
109,Mujer,44,73899.97,7
110,Hombre,66,61969.15,48
111,Hombre,19,61886.71,46
112,Hombre,47,72138.36,9
113,Hombre,64,18434.74,3
114,Mujer,21,27941,73
115,Hombre,39,77648.47,88
116,Mujer,51,43717.3,50
117,Mujer,68,50529.76,48
118,Hombre,38,54589.35,55
119,Mujer,38,63547.39,42
120,Mujer,36,104232.75,85
121,Hombre,50,84897.38,26
122,Mujer,42,35034.66,17
123,Mujer,49,53517.98,42
124,Hombre,19,46455.34,55
125,Mujer,35,19281.75,6
126,Mujer,50,40218.68,55
127,Mujer,37,96634.93,32
128,Hombre,20,59069.88,49
129,Hombre,29,29007.82,82
130,Hombre,27,64863.78,56
131,Mujer,33,85894.53,95
132,Hombre,46,97525.8,15
133,Hombre,32,127032.9,74
134,Mujer,23,30877.68,87
135,Hombre,27,87906.83,69
136,Mujer,35,19604.83,35
137,Hombre,22,19460.97,79
138,Mujer,49,63944.75,48
139,Mujer,28,75706.11,40
140,Hombre,47,43155.28,41
141,Mujer,19,61242,54
142,Hombre,59,42262.04,60
143,Mujer,43,49725.93,50
144,Hombre,30,137838.57,83
145,Hombre,43,71525.03,35
146,Mujer,60,49806.24,49
147,Hombre,53,45431.11,46
148,Mujer,35,119534.68,79
149,Mujer,67,46970.54,52
150,Mujer,35,19998.39,99
151,Mujer,47,47465.22,42
152,Hombre,26,60769.96,55
153,Hombre,33,111942.48,8
154,Hombre,37,18797.16,13
155,Mujer,35,22557.11,98
156,Mujer,21,63589.53,42
157,Mujer,23,54696.89,52
158,Mujer,30,87301.41,86
159,Hombre,40,70945.77,95
160,Hombre,35,91426.18,90
161,Hombre,52,24993.78,29
162,Hombre,48,39542.81,36
163,Mujer,54,45863.52,59
164,Mujer,32,96478.7,86
165,Hombre,39,69198.54,91
166,Mujer,63,66194.25,43
167,Hombre,24,58724.71,52
168,Mujer,23,16003.17,77
169,Hombre,48,60737.16,42
170,Hombre,40,53907.1,48
171,Hombre,70,50892.45,55
172,Mujer,31,71145.69,71
173,Hombre,49,61959.26,56
174,Mujer,32,76249.59,87
175,Mujer,32,57274.18,42
176,Hombre,39,68486.79,75
177,Mujer,21,33353.78,81
178,Mujer,31,40831.63,42
179,Mujer,30,33332.43,73
180,Mujer,54,98279.31,24
181,Mujer,65,37926.15,35
182,Hombre,67,18437.21,14
183,Hombre,19,80360.65,5
184,Mujer,27,60170.67,50
185,Mujer,27,47764.15,51
186,Hombre,21,15929.68,81
187,Hombre,33,43433.65,60
188,Mujer,31,19003.52,40
189,Hombre,40,87509.97,13
190,Mujer,30,77373.89,73
191,Mujer,34,102643.75,23
192,Hombre,37,78325.14,1
193,Mujer,36,38392.92,26
194,Hombre,20,72748.56,5
195,Hombre,53,30542.08,4
196,Mujer,30,19322.17,72
197,Mujer,50,43486.37,45
198,Hombre,35,24086.95,35
199,Mujer,24,38599.28,65
200,Mujer,36,86546.01,75
