"texto","titulo","pagina"
"iba descubriendo. En muchos casos, sus definiciones teóricas son hitos fundamentales para la lingüística y para sus disciplinas hermanas, y esto sucedió sobre todo porque su reflexión siempre asocia a la precisión formal la intuición y el control metacientífico, típico de la filosofía de la ciencia. Los niveles de adecuación Adecuación observacional: una gramática es capaz de especificar qué secuencias (sintácticas, fonológicas, etc.) están bien formadas en una lengua; Adecuación descriptiva: aparte de poseer adecuación observacional, la gramática puede especificar, para todas las frases bien formadas, también una descripción estructural construida según unos principios ordenados y verificables; Adecuación explicativa: la gramática consigue enlazar las descripciones estructurales que contiene con unos pocos principios universales, que explican las diferencias y las analogías entre las lenguas del mundo en términos de cálculos mentales teóricamente económicos y psicológicamente plausibles. Entre estas definiciones, una de las más importantes es la que dio forma a la distinción de los niveles de adecuación a los que puede aspirar una teoría lingüística: 1) adecuación observacional. 2) adecuación descriptiva, 3) adecuación explicativa. En el primer caso, decimos que una gramática de una lengua L alcanza adecuación observacional cuando especifica correctamente qué frases o secuencias en general están bien formadas y cuáles no en el conjunto en L. En el segundo caso, la gramática de L alcanza adecuación descriptiva si especifica correctamente qué frases están (y cuáles no) bien formadas en L, y al mismo tiempo describe correctamente las estructuras sintácticas, semánticas, morfológicas y fonológicas de L de modo que proporcione una descripción ordenada de las intuiciones del hablante nativo respecto a dichas estructuras. Por último, una teoría lingüística de la gramática alcanza adecuación explicativa solo en el caso de que es capaz de proponer una gramática descriptivamente adecuada para cada lenguaje natural, y solo si lo hace con un conjunto de principios universales limitados a lo esencial que correspondan a principios naturales de cálculo mental psicológicamente plausibles. Estos tres niveles deben considerase como contenidos el uno dentro del otro: es decir, si una gramática alcanza la adecuación explicativa, entonces necesariamente posee asimismo la descriptiva y la observacional; aunque no constituyan una jerarquía de valor, los tres niveles corresponden a tres medidas de potencia de una gramática. Y la teoría de la gramática generativa se","Chomsky",56
"propone idealmente alcanzar el nivel de la adecuación explicativa. La crítica de Chomsky a las teorías anteriores A partir de los primeros conceptos y enfoques generativos que hasta el momento hemos caracterizado, ya podemos entender por qué Chomsky arremetió con fuerza, sobre todo en los años en que se desarrollaba el programa de investigación de la lingüística generativa, contra los planteamientos tradicionales de la gramática. Y podemos interpretar justamente en este sentido sus críticas dirigidas específicamente a las inadecuaciones de las gramáticas estructuralistas, que en aquel momento (hasta por lo menos los años setenta) constituían la visión dominante. Dice Chomsky: La lingüística moderna no ha reconocido explícitamente la necesidad de vincular, a una gramática concreta de una lengua, una gramática universal, para alcanzar la adecuación descriptiva. De hecho, la lingüística normalmente ha rechazado el estudio de la gramática universal como si fuera erróneo, y no se ha basado en el estudio y la explicación de los aspectos creativos del uso del lenguaje. Esta situación sugiere que no hay forma de superar el impasse de la inadecuación fundamental de las gramáticas estructuralistas. Y, asimismo, dirigiéndose en general a las gramáticas tradicionales: Otra razón para el fracaso de las gramáticas tradicionales, tanto si son particulares como universales, al proporcionar una exposición precisa de los procesos de formación de la frase o de su interpretación, radica en la creencia ampliamente difundida de que existe un orden natural de los pensamientos, que se reflejaría en el «orden de las palabras» […] pero la razón de esta inadecuación de las gramáticas tradicionales es más técnica. Aunque está muy claro que los procesos lingüísticos son, de alguna forma, «creativos», hasta épocas muy recientes no estaban disponibles los recursos técnicos para expresar un sistema de procesos recurrentes. De hecho, una comprensión real de cómo una lengua puede […] «hacer un uso infinito de medios finitos» no se desarrolló hasta los últimos treinta años, y gracias a los estudios sobre fundamentos de la matemática. Ahora que estas intuiciones están disponibles, es posible volver a los problemas que han sido planteados pero no resueltos por la teoría lingüística tradicional. Valía la pena leer estas dos citas completas, para entender los términos y el alcance de la crítica de Chomsky. En estas palabras suyas ya","Chomsky",57
"se hallan los puntos básicos del programa de la lingüística generativa, a cuyo alrededor, en buena parte, aún se está desarrollando esta: estructura (profunda) de la frase, gramática universal, adecuación. Una frase tiene una estructura superficial y otra profunda ¿Qué estoy haciendo cuando pronuncio una frase como ¿Qué come Luis? Tal y como hemos dicho, en un nivel, estoy produciendo sonidos. En otro nivel, me estoy refiriendo a cosas, personas, acontecimientos que tienen lugar en el mundo en el que vivo. En un tercer nivel, estoy comunicando una estructura lingüística muy precisa, que requiere necesariamente que un sujeto se combine con un verbo según un orden preciso, unas reglas de concordancia, etc. Por último, en un cuarto nivel, estoy expresando un pensamiento. Pero, ¿qué forma o estructura posee este pensamiento, y de qué modo se diferencia de aquella que estamos acostumbrados a detectar en el lenguaje? En concreto, según los trabajos de Chomsky y en general según los modelos explicativos característicos de la gramática generativa, por lo menos hasta los años setenta y ochenta, podemos considerar una frase como dotada de una estructura superficial y otra profunda. La superficial, que comunicamos, por ejemplo, diciendo Adivina qué come Luis, puede coincidir, pero no necesariamente, con la estructura, más regular y más simple, del pensamiento subyacente, con su estructura profunda. La identidad entre ambas estructuras queda garantizada solo en algunos casos (por ejemplo, Luis come una manzana); en otros, para derivar construcciones sintácticas más complejas —por ejemplo, en las que se combinan frases principales y frases dependientes— intervienen procesos de modificación y transformación que llevan de la estructura superficial a la profunda de la frase. Adivina qué come Luis puede transcribirse, marcando los papeles sintácticos, como [[Verbo] [Objeto Verbo Sujeto]]. Sin embargo, pensando en español, sabemos que la frase más simple y estándar presenta una forma [[Verbo] [Sujeto Verbo Objeto]]. La gramática generativa investiga de qué modo y en qué condiciones esta estructura puede o debe modificarse. E intenta entender por qué la frase correcta nunca es, en ningún caso, Luis come qué adivina. Al buscar esta explicación, se postula que la condición de dependencia de una frase secundaria a la anterior frase principal activa un procedimiento de extracción del objeto, que está antepuesto a las categorías","Chomsky",58
"gramaticales de sujeto y verbo, precisamente produciendo la estructura superficial que observamos: adivina qué come Luis. La frase principal adopta como objeto el de una frase dependiente, que está «extraído» de lo que sería su lugar natural si la frase no fuese dependiente. El objeto qué, por lo tanto, se convierte en objeto de ambas cuando se colocan en una estructura jerárquica específica. Estructura superficial y estructura profunda En la gramática generativa, hasta los años ochenta, una frase posee una estructura superficial, que coincide con el orden de las palabras que vemos al escribir o al hablar —es decir, al usar— el lenguaje, y una estructura profunda, más cercana, por el contrario, al lenguaje de la lógica que expresa la naturaleza mental del lenguaje. I. Estructura superficial: Adivina qué come Luis II. Estructura profunda: Hay que decir que la derivación, para que sea válida y explique cómo de la estructura profunda se llega a la superficial, debe ser legible desde cualquier proceso automático, es decir, conducida a través de reglas enunciables claramente y con el mayor grado de explicitud posible. El paso entre estructura profunda y estructura superficial está determinado por reglas transformacionales, es decir, que especifican qué elemento se convierte en otro (por ejemplo, un sintagma verbal) y en qué momento de la transformación; dicho de otro modo, se trata de reglas que, para ser válidas, se aplican en un orden determinado en las propias reglas. En la evolución de la gramática generativa, la distinción entre estructura profunda y estructura superficial se abandonará paulatinamente, en favor de una representación más simple. En los próximos párrafos veremos por qué estilos de análisis será sustituida esa distinción. De todos modos, el aspecto fundamental en la gramática generativa, tanto la de ayer como la de hoy, sigue siendo que lo que vemos en la superficie del lenguaje es casi siempre diferente de lo que debemos presumir subtendido, por razones teóricas (de otro modo, ¿cómo podrían explicarse formalmente las formas complejas del lenguaje y su aprendizaje?) y analíticas (¿cómo podrían analizarse estructuras de la frase muy diferentes entre sí si no se presupusiera una estructura más simple subyacente a la misma?). Chomsky, Halle y la fonología El nombre de Chomsky se asocia, ante todo, con la sintaxis, la","Chomsky",59
"rama de la gramática que estudia cómo las palabras se combinan en el lenguaje para formar frases, que pueden ser estudiadas desde el punto de vista de su significado, es decir, ser objeto de la semántica. Pero también escribió, sobre todo en los años setenta, trabajos fundamentales en colaboración con Morris Halle, el fonólogo letón que le llamó para ir desde Harvard, al MIT, y juntos fundaron el departamento de lingüística, además de crear la disciplina de la gramática generativa. El principal trabajo firmado por ambos se recopila en el volumen los esquemas sonoros del inglés (The Sound Pattern of English, a menudo abreviado como SPE). SPE es para la fonología de hoy una especie de texto sagrado, el primer intento de proponer un sistema de reglas capaz de explicar los sonidos de una lengua —su gramática fonológica— y esclarecer sus interacciones con los demás componentes de la gramática, en especial la forma de las palabras, la morfología, y sus posibles combinaciones, y la sintaxis. La fonología, esto es el estudio de las reglas que nos dicen cómo producir un determinado sonido y cómo este sonido puede y debe combinarse con los demás, está tratada a partir de SPE como un componente interpretativo de la gramática, a diferencia de la sintaxis, que es un componente generativo. Siguiendo en la óptica de separar claramente áreas que funcionan de modos diferentes, la imagen del componente fonológico elaborada en SPE es la de una lista de reglas, en parte comunes y en parte especificadas de formas distintas en varias lenguas, que transforman sonidos individuales o cadenas de sonidos a través de procesos ordenados análogos a los vistos para los pasos entre estructura profunda y estructura superficial en la sintaxis. Esto sucede cuando se comprueban ciertas condiciones, que tienen que ver con la posición de los sonidos (por ejemplo, al inicio o al final de la palabra, o de una sílaba) o con sus combinaciones. Veamos, ahora, un ejemplo de la clásica regla fonológica extraída de la gramática del italiano, denominada «sonorización de la / s / intervocálica». En italiano, todas las / s / en el interior de palabras no formadas por varios morfemas o trozos deben ser pronunciadas como / z /, que es el símbolo fonológico","Chomsky",60
"para la / s /sonora, como la que se halla en lasagna. Este proceso fonológico se aplica de forma totalmente regular en la lengua italiana: tenemos una contraprueba de ello cuando un italiano pronuncia palabras inglesas que contienen la misma secuencia, es decir, vocal - / s /- vocal, como, por ejemplo, en philosophy. En inglés, esta regla no se aplica, y la palabra se pronuncia con s sorda como la inicial de sale, o sala: muy a menudo, en cambio, los hablantes italianos aplican la regla de su gramática nativa, que prevé precisamente la / s / intervocálica pronunciada como / z /, el símbolo internacional para la s sonora (como, por ejemplo, en lasagna, pero no en sala). Es evidente que reglas de este tipo las fija y aprende muy tempranamente el hablante que desarrolla el lenguaje, porque el niño que lo aprende enseguida queda expuesto a ellas y a su correlato de tipo muy material, los sonidos. La fonología es en esencia un programa mental de reescritura: algo cuya función es mediar entre la representación mental fuertemente abstracta de la sintaxis y una materialidad sonora que luego se explicita completamente en la fonética, la ciencia que estudia la producción física de los sonidos. Este enfoque de la gramática fonológica ha dejado una huella indeleble en los estudios de la fonología, y no solo en ellos. Esta alusión a otra rama del trabajo de Chomsky, también preñada de consecuencias, es útil, no solo en sí misma, sino también para entender por qué en el Massachusetts Institute of Technology se inició en aquellos años el desarrollo de una disciplina que nominalmente ya existe, pero que queda radicalmente renovada en sus postulados y en sus perspectivas. Resulta de ello una imagen en la mente humana —y de la competencia gramatical que se vincula a la misma— como una arquitectura compleja, hecha de sistemas diversos que interactúan entre ellos de formas anteriormente inimaginables. A partir de entonces, la fonología aparece como el sistema cognitivo (es decir, arraigado en nuestras facultades cognitivas y en nuestro tejido nervioso) que coordina una función muy precisa: crear, sobre la base del estímulo percibido, una lista de posibles sonidos y de posibles reglas y condiciones para poder transformarlos. Estas reglas las","Chomsky",61
"aplica el niño al órgano que se está desarrollando en su cerebro y que producirá las posibles combinaciones de objetos, las palabras, a las que después adjudicará un significado. Lo que, al fin y al cabo, está en juego en esta fase de refundación de la disciplina de la lingüística sobre nuevas bases cognitivas es la creación y la continua discusión de una nueva teoría integrada del conocimiento humano. La evolución de la gramática generativa Ya se ha señalado en la introducción que uno de los rasgos más fascinantes de la gramática generativa es que se trata de una teoría extremadamente viva, que ha sido revisada numerosas veces por su padre fundador, pero no solo por él. De hecho, Chomsky propuso versiones, que modifican uno o más asuntos teóricos, o procedimientos analíticos concretos, o métodos de representación, y aún sigue haciéndolo. Es evidente que lo que hoy se indica con el nombre general de gramática generativa es, en realidad, una serie de postulados e hipótesis diversos formulada desde el año 1955 hasta la actualidad. Por otro lado, Chomsky siempre ha reflexionado críticamente acerca de estos desarrollos en primera persona. En un artículo reciente suyo, titulado «Tres factores en el diseño del lenguaje», puede encontrarse una de las muchas reinterpretaciones críticas del progreso de la gramática generativa. Se identifican tres fases que resultan útiles para comprender no solo lo que ha sido la gramática generativa, sino también hacia dónde puede conducir en el futuro. 1. En una primera fase, que va aproximadamente de los años cincuenta a los años setenta, se hizo hincapié en la forma de las reglas gramaticales y sus representaciones. Las principales publicaciones de Chomsky en este período fueron Estructuras sintácticas (1957) y Aspectos de la teoría de la sintaxis (1965). Ahí, la lingüística generativa se expuso en conjunto a modelos extraídos, más o menos declaradamente, de la informática, de la lógica y de la matemática. El nombre de la teoría en aquellos años era, más bien, gramática generativo-transformacional. Estrechamente vinculada con la idea de que existen dos estructuras netamente diferenciadas, una profunda y otra superficial, la teoría se centra en las dos representaciones y en reglas que permiten transformar la una en la otra, y en el orden en el que debemos","Chomsky",62
"suponer que esas reglas tienen que aplicarse. 2. La segunda fase de la gramática generativa se caracteriza por el papel menor que desempeñan los modelos procedentes de la informática; por el contrario, crece una perspectiva inspirada en la biología. En esta fase nace el programa de investigación de la biolingüística, caracterizada por dos nuevos enfoques respecto a la gramática, que conciernen a aspectos distintos, uno específico y otro general, de la teoría lingüística y sintáctica en particular. El primero se denomina teoría del ligamiento (binding theory) y pone el énfasis en todos aquellos fenómenos que crean o suponen conexiones entre los elementos de la sintaxis. Por ejemplo, ¿qué significa, desde un punto de vista formal y estructural, tener una representación mental de las estructuras de frase Luis come la manzana y Él la come? La teoría del ligamiento precisamente se ocupa de explicar de qué modo en la segunda frase el pronombre la, que corresponde al objeto de la primera, está «ligado» por el sujeto, aquí el pronombre él, que en el ejemplo lo atrae hacia él. Este vínculo sintáctico es evidente si reconsideramos la frase original, Luis come la manzana, donde, por el contrario, el objeto, no representado por el pronombre sino por el objeto lexical (la manzana) no se supedita a los mismos vínculos de posición dentro de la estructura sintáctica y, por lo tanto, puede seguir al verbo. La teoría del ligamiento es una teoría concreta de la estructura sintáctica, que nace dentro de un enfoque más general hacia toda la teoría de la gramática. Este enfoque lo desarrolló Chomsky en aquellos años y lleva el nombre de enfoque de los Principios y de los parámetros. La idea que subyace en este nuevo planteamiento es simple: la competencia gramatical consiste en una serie limitada de principios universales, válidos para todas las lenguas: estos principios, en el desarrollo de las lenguas concretas (español, inglés, chino, portugués, etc.), quedan especificados según unos parámetros, es decir, según un conjunto finito de opciones, que, a su vez, dan lugar a las grandes diferencias que en efecto hallamos en las lenguas del mundo. Este enfoque, por un lado, es una forma de proporcionar una explicación formal y teóricamente fundada para la extrema variabilidad que detectamos en las","Chomsky",63
"características concretas de las lenguas naturales, mientras que, por el otro, mantiene estancado el principio teórico por el que 1) los seres humanos son todos iguales desde el punto de vista cognitivo, y 2) el hecho de adquirir y luego poseer un lenguaje presenta rasgos sin duda comunes, a pesar de las diferencias específicas en el resultado. Este enfoque combina teoría y tipología lingüística, es decir, una consideración abstracta de la esencia del lenguaje, de sus principios universales, lo que en el último análisis permanece constante, y una consideración más concreta de la variabilidad de las lenguas, de los modos y los grados en que pueden desarrollar una determinada característica. En resumen, el enfoque de los principios y de los parámetros es un marco de trabajo para el lingüista, que debe discernir entre estos dos factores en la forma de las lenguas. Para dar un ejemplo concreto de cómo esta perspectiva explica una característica lingüística concreta, examinemos el principio llamado recursividad (recursion). Chomsky consideró este principio como uno de los más profundos y cruciales para el desarrollo de la facultad mental del lenguaje: consiste simplemente en la posibilidad, compartida por todas las lenguas, de crear y encajar en el interior de una frase, como si de una muñeca rusa se tratara, una o más frases relativas, que dependen de la frase principal. Por ejemplo, la frase 1, principal, [Luis come una manzana] puede proseguir con la frase 2 relativa [que ha comprado en el mercado]. La representación del todo, para ser correcta, debe reflejar el hecho de que el pronombre relativo que está controlado por —se refiere a— la manzana, por lo que el conjunto de la frase 1+2 debe representarse del siguiente modo, si usamos la notación con corchetes: [[[Luis come]] [[una manzana] [que ha comprado en el mercado]]]. Esta es la representación formal del principio de la recursividad. Todas las lenguas tienen formas, en la gramática, de insertar estas frases secundarias en estructuras principales como Luis come una manzana. Pero no todas las lenguas usan esta propiedad del mismo modo, y ahí entran en juego los parámetros. Se sabe, de hecho, que el japonés, por ejemplo, cuando construye una frase relativa, no la construye a la derecha de la palabra a la que","Chomsky",64
"se refiere el pronombre relativo (la manzana, que ha comprado en el mercado), sino a su izquierda (algo así como que ha comprado la manzana). Por lo tanto, el enfoque de los principios y parámetros explica este hecho lingüístico como el principio universal de la recursividad, que se especifica en el parámetro concreto izquierda/derecha: todas las lenguas poseen la posibilidad de ser recursivas, pero algunas, como el español, lo son hacia la derecha, mientras que otras lo son hacia la izquierda. Especificar y definir todos los principios supone llegar al corazón de la esencia del lenguaje y caracterizar lo que Chomsky denomina gramática universal, como veremos a continuación. ¿Qué es la recursividad? Para Chomsky, la recursividad es uno de los ingredientes básicos del lenguaje: la posibilidad de construir estructuras (perfectamente gramaticales) en cuyo interior puedan insertarse otras estructuras iguales. La recursividad es potencialmente ilimitada: Luis, que es mi primo, come una manzana, que ha comprado en el mercado que se encuentra en la ciudad que Luis atravesaba siempre cuando iba al mercado que le gusta tanto decir que es aquel en el que encontraba a sus amigos que iban al colegio con él que comía la manzana. 3. La tercera fase de la gramática generativa consiste en un programa de investigación, más que en una teoría y un enfoque, llamado programa minimalista (Minimalist Program). La maduración plena de la teoría de la gramática universal en la fase 2 hace de puente con la fase 3, proponiendo de nuevo la idea, velada por varios filósofos (algunos de ellos vistos en el capítulo anterior), de que el lenguaje posee una base común para todos los seres humanos. Sin embargo, las lenguas del mundo son muy diferentes entre sí: ¿cómo salvar la idea de que todos nosotros, los seres humanos, tenemos en la cabeza, sin saberlo, exactamente las mismas cosas, los mismos principios cognitivos y gramaticales? La gramática universal contiene principios cada vez más abstractos, menos numerosos y genuinamente cognitivos, como en el ejemplo de la recursividad visto más arriba. Esta fase de la lingüística generativa está caracterizada por procedimientos que Chomsky ve más similares a los adoptados por la física: extrema reducción de los fenómenos a principios simples y muy abstractos, elevado grado de formalización en las","Chomsky",65
"representaciones de las estructuras específicas e intento de basarse en las hipótesis más simples posibles, hasta llegar a la prueba contraria. En esto consiste, en síntesis, el programa minimalista, que precisamente tiende al mayor grado de simplificación posible, y prescinde, por ejemplo, de los conceptos de estructura superficial y estructura profunda que hemos visto antes. Con el programa minimalista, el estudio de la gramática, por lo tanto, tiende a reducir a la mínima expresión las operaciones de la sintaxis y los elementos a los que estas se aplican, y, además, a racionalizar radicalmente las características de los principios universales de la gramática. De hecho, un sintáctico generativo actualmente considera las operaciones más importantes que definen el lenguaje a partir de lo que es solamente humano entre las especies vivas como recursividad (recursion), fusión (merge) y movimiento (movement). Fusión y movimiento La fusión es la operación que, a partir de dos elementos diferentes, crea uno mayor y jerárquicamente ordenado: (X, Y) → (Xy). El movimiento es la operación que se produce cuando dos elementos se funden para crear una unidad mayor. La primera es la operación, vista con anterioridad, que permite insertar elementos que poseen una misma estructura el uno dentro del otro. La segunda es la que permite crear las estructuras de la sintaxis, fundiendo, por ejemplo, un simple nombre, Luis, con un verbo, come. A este nivel, la fusión produce una frase. A nivel del sintagma verbal, un nivel jerárquicamente más bajo respecto al de la frase entera, los mismos componentes, es decir, el verbo y otro nombre, por ejemplo la manzana, se funden también ellos pero dando vida, esta vez, a un sintagma verbal. Un sintagma que, a su vez, podrá fundirse dentro de la estructura de la frase entera. Dentro de la frase, la posición de los componentes contiene roles sintácticos diferentes, y este tipo de análisis está justificado por el hecho de que los diversos roles implican comportamientos distintos. La tercera operación es, justamente, la que requiere que algunos componentes actúen de cierto modo y no de otro, moviéndose en posiciones prefijadas y obligatorias. Tal y como hemos visto al ilustrar la teoría del ligamiento, si en Luis come la manzana, sustituyo manzana por el pronombre la, el rol, el espacio","Chomsky",66
"sintáctico del complemento objeto, que antes desempeñaba el sintagma nominal la manzana, cuando lo desempeña el pronombre no puede estar donde estaba antes, sino que debe moverse más cerca del sujeto de la frase. ¿Por qué sucede esto? A primera vista, podría pensarse que se trata de un caso, fijado por las convenciones de la historia y de la enseñanza de la lengua. Pero, actualmente, sería difícil justificar esta visión frente a la evidencia teórica y experimental que los lingüistas y los neurólogos sostienen acerca de la realidad mental de la gramática. Por lo tanto, existe algo muy convincente, si no en el procedimiento de análisis y en la argumentación generativa, por lo menos sí en la visión de las posibilidades de descubrimiento que se entrevén al observar en el caleidoscopio de la gramática con las lentes de Chomsky. ¿Hacia dónde va la gramática generativa? La lingüística es un campo particularmente duro, de luchas intelectuales, de escuelas contrapuestas. Es evidente que la lingüística de Chomsky, con su planteamiento marcadamente teórico y radical, ha polarizado los ánimos de todos los lingüistas, a veces descontentos con el análisis de una lengua tibetana concreta, a veces, más a menudo, descontentos por tener que enfrentarse con una hipótesis tan general como la que afirma que existe una gramática universal y que ese es el verdadero objeto que los lingüistas deben buscar. A menudo, a esta hipótesis teórica se opone un escepticismo genérico, pero también hay críticas argumentadas, entre las que destacan las procedentes de la tipología lingüística. La tipología lingüística es la disciplina que se ocupa de clasificar y describir los diferentes tipos de lenguas. La crítica es muy simple: las lenguas son distintas, muy distintas; no tiene ningún sentido buscar analogías estructurales entre ellas, porque la facultad mental del lenguaje no es una facultad específica, como desearía Chomsky, sino más bien una facultad muy genérica que produce, además del lenguaje, toda una serie de otras capacidades cognitivas, no únicamente lingüísticas. Observamos que la crítica involucra también la teoría de la mente modular que soporta la gramática generativa desde el punto de vista teórico-filosófico. Aunque quizá está poco articulada desde el punto de vista filosófico, es una crítica que merece la pena tener siempre en cuenta al leer los","Chomsky",67
"escritos de Chomsky. Hay quien dice que el programa generativo, tal y como emana del Massachusetts Institute of Technology y de la enseñanza de Chomsky por lo menos hasta los años noventa, ha fracasado: su intento era formar, aparte de teóricos del lenguaje, a tipólogos generativistas, capaces de buscar pruebas empíricas de la teoría de la gramática universal. Pero las diferencias, a veces extremas, que se observan entre las lenguas del mundo han hecho que algunos replantearan este enfoque, genuinamente racionalista, en el que la teoría viene antes que los datos. La lingüística vive hoy un momento en el que resurgen los enfoques cercanos al empirismo, es decir, un renovado interés hacia los datos del lenguaje y los procedimientos de análisis de tipo cuantitativo. En el momento actual, la lingüística está buscando o una teoría radicalmente nueva, o unos datos radicalmente nuevos que constituyan un verdadero reto para la teoría generativa y conduzcan a una propuesta alternativa acerca del misterio del lenguaje humano, o bien un diferente paradigma epistemológico que, de nuevo, haga replantear hechos que tan solo hace setenta años ni siquiera estaban verificados. En cualquier caso, y sea cual sea el destino de los estudios acerca del lenguaje, es difícil discutir que el genio y la personalidad de Chomsky han constituido un ejemplo y un acontecimiento de los que raramente se repiten en la historia de la ciencia. Política y acción Es posible que un par de detalles llamen la atención de aquel que entre por primera vez en el estudio de Noam Chomsky en el MIT de Cambridge. Massachusetts. El despacho no está desordenado, es muy amplio y está repleto de libros. Pero, sorprendentemente, la mayoría de ellos no son de lingüística o filosofía, sino sobre política o historia. Y es tal vez aún más significativo otro detalle. En el despacho hay una única imagen, cercana a la mesa alrededor de la cual recibe a los visitantes: un póster de gran formato del filósofo inglés Bertrand Russell, ya anciano, con su largo pelo blanco y un aire de Lord. Si conectamos estos dos hechos encontraremos la clave para acceder al otro campo de actividad de Chomsky: la reflexión sobre historia y política y su estrecha conexión con el activismo, con la participación","Chomsky",68
"en iniciativas de protesta y manifestaciones. Chomsky tiene, en efecto, una gran presencia en los medios de comunicación cuando interviene sobre temas políticos; paradójicamente, mucho mayor que cuando habla de lingüística o de ciencias cognitivas. ¿De dónde viene esta segunda pasión suya? ¿Dónde se encuentra exactamente el punto de contacto con Bertrand Russell? ¿Cuáles son los temas y las formas recurrentes de sus intervenciones políticas, tanto cuando difunde sus ideas a través de publicaciones especializadas como cuando tal difusión tiene lugar por otros medios? ¿Quién es, en esencia, Noam Chomsky? En este capítulo se ofrecerá una visión general de los temas principales que suele tratar el lingüista y filósofo de Cambridge. Se expondrán, y siempre que sea posible explicarán, intentando al mismo tiempo identificar sus raíces en la evolución intelectual de Noam Chomsky. Acción y activismo más que teoría. Pero también teoría Noam Chomsky se encuentra ciertamente en una posición privilegiada, porque es un intelectual escuchado. Goza de una presencia mediática notable, y a menudo se le pide la opinión desde innumerables plataformas de medios de comunicación, que se han multiplicado con la llegada de internet Chomsky ha tomado partido sobre prácticamente cualquier tema, y es entrevistado con regularidad por periodistas y por otras personas, muchas veces incluso por gente corriente que siente curiosidad y lo busca para hacerle las preguntas más diversas. No es difícil concertar una cita con su secretaria para ser recibido en su estudio del MIT. Por otra parte, sin embargo, los canales a través de los cuales se difunden sus discursos sobre política no son habitualmente institucionales o dominantes, sino que suelen ser canales alternativos a los grandes medios de comunicación. Tampoco suele tratarse de canales especializados en ciencia política, un campo en el que Chomsky no es especialmente popular ni muy valorado. Esto sucede porque cuando Chomsky habla sobre política y relaciones internacionales no se dirige a los teóricos, sino a los organizadores de la disidencia política contra dinámicas históricas, sociales y bélicas que considera injustas, inhumanas y erróneas. Su punto de vista, por lo tanto, es el de un activista, no el de un politólogo. Sus intervenciones públicas, sus posiciones y el modo de expresarlas no son simplemente teorías, sino más bien juicios históricos, basados en reconstrucciones concretas","Chomsky",69
"y bien documentadas, con las que no duda en enfrentarse a cualquier orden establecido, institucional o económico. Puede afirmarse, en consecuencia, que, por las razones que se acaban de aducir, las relaciones entre las dos actividades de Chomsky, tanto la científica en filosofía, lingüística y ciencias cognitivas, como la política, son muy estrechas, como a él mismo le ha gustado siempre destacar. Estas dos esferas tienen una vida independiente, y Chomsky no hablará nunca en un congreso de lingüística de lo que ha hecho un presidente norteamericano, ni divagará sobre gramática generativa en una convención anarquista. Pero es indudable que los aspectos más políticos del trabajo de Chomsky se basan en preguntas ineludibles y fundamentales sobre la naturaleza del ser humano: ¿qué es un ser humano?; ¿qué reglas tiene que establecer el hombre para construir una sociedad armónica?; ¿qué papel debe desempeñar la política?; ¿cuál es el papel del individuo en la construcción de una sociedad ordenada? Hay un sentido de necesidad y racionalidad en todo lo que Chomsky ha ido afirmando durante años, y ello debe tener algo que ver con la tensión intelectual del autor, con su amor por la racionalidad y por su indiscutible capacidad para pensar al margen de esquemas preestablecidos, con extrema independencia de juicio. Tal vez sea este el aspecto más destacable de su figura como activista, pensador anarquista y comentarista político. El Chomsky político No es ningún secreto que la educación de Chomsky, por lo que respecta a su pensamiento sobre la sociedad y la política, empieza muy pronto, durante su infancia. Sus opiniones políticas, de hecho, han cambiado muy poco desde aquella época, y se han alimentado del ambiente de la clase trabajadora judía. Se cuenta que, con solo diez años, en la escuela, el pequeño Noam escribía «ensayos» contra el fascismo español. Su padre William era un profesor muy querido, experto en lenguaje y moral hebrea. Noam se acercó desde joven a las ideas del anarquismo y del socialismo libertario, y entró en contacto con numerosos círculos anarquistas en el Nueva York de los años cincuenta. Entre sus numerosas influencias políticas y literarias se encuentran varios sindicalistas anarquistas como Rudolf Rocker, protagonistas del movimiento obrero internacional como Rosa Luxemburgo y Karl Liebknecht, y el escritor y","Chomsky",70
