"nombre","titulo_comentario","contenido_comentario"
"14 Inkas","Malísimo, muy tacaña la comida","Un restaurante demasiado caro para las porciones y calidad. Las entradas y platos principales demasiado pequeños. Pedimos un plato fuerte “Arroz cremoso “ y la porción era enana!!! y $37.000 parecía un plato de postre. Mis padres y yo quedamos con hambre. Las entradas parecían...Más"
"TGI Friday's","Terrible","Fatal es la palabra que define este restaurante, el viernes dia en que jugaba Colombia contra la seleccion de Venezuela decidimos hacer un grupo y reunirnos alli para ver juntos el partido. La eleccion no pudo ser peor !! Este restaurante no esta listo para...Más"
"Cantina y Punto","UN ADEFESIO","Review en vivo desde ""el restaurante"": 3 semanas antes para lograr una mesa. Llego 10 mins antes de la hora pactada. 85 minutos después sigo esperando la mesa por la que ya había esperado 3 semanas. La disculpa es que ""la prestaron. PAUPERRIMA LOGÍSTICA. Restaurante...Más"
"Misia by Leo Espinosa Zona G","Tacañeria","Pedi para acompañar el helado 2 galletas adicionales y la respuesta es que Doña Leo no deja dar mas de 2 galletas. Yo quería pagarlas pero no se puede. Con la propina se pueden compran 2 paquetes de 20 galletas cada una. Ojo doña leo...Más"
"Hard Rock Cafe","Muy malo","La calidad de la carne es malisima, peor que en un mcdonald. Pedimos unos entrantes que nos llegaron recalentado en microondas, aceitosos y correosos...
El local estaba ademas sucio"
"Sopas de Mamá & Postres de la Abuela","PARK WAY: PÉSIMO, PARA NO VOLVER","Los platos se demoraron demasiado, mucho más de lo normal, no llegaron al tiempo y uno de ellos lo trajeron sin los acompañamientos.  Los salmones estaban crudos.  Los tuvimos que devolver.  Los nachos parecían una sopa; los peores que he probado.  El restaurante no estaba...Más"
"Grecia de Andrei","Pésimo servicio y mala comida","Tuve una muy mala experiencia, el servicio muy demorado, mala atención en general, la comida no es buena y los precios son altos para la calidad que uno espera de un restaurante de esa categoría. 

Nunca lo recomendaría!"
"Gordo Brooklyn","Inesperado","Desde la entrada con la anfitriona inicia la puntuacion pesima, la carta es bastante ordinaria, la presntacion de los platos rustica con indicios de bastedad, la sazon bastante mala, lo unico bueno es que despues de pasar un rato tan desagradable y haber comido tan...Más"
"Frisby","Queja","Contabamos con el buen sabor de Frisby para el almuerzo del dia de la madre,nunca llego el domicilio.En todo momento informaron que ya lo tenía el domiciliario, pero nunca llego, nos toco azar una carne con arepa.Que servicio tan descarado."
"Habana 93","El peor restaurante","Mal servicio, comida mal preparada, los platos no contienen lo que indica el menú.

Fui a celebrar un cumpleaños con mis amigos y fue el peor servicio, muy demorado pedimos unas cervezas que se demoran más o menos 20 min en servirnos, para la entrada...Más"
"Pescadero Benjamín Bohórquez","Pésimo servicio","Visitaba el lugar para celebrar mis eventos, pero no vuelvo y no lo recomiendo,han bajado la calidad del servicio y los productos."
"Habana 93","Pésimo servicio!","Lo único bueno es el grupo musical que toca en vivo los fines de semana. La comida mediocre, los cócteles pésimos, y se demoraron tanto en un plato que preferí cancelarlo, cuando les reclamé el mesero totalmente descortés y grosero. No volveré y no recomiendo...Más"
"Leo","Horrible experiencia !!!","Es de verdad mi peor experiencia en restaurantes de este nivel , la comida totalmente desagradable en todos los sentidos , señores si no quieren pasar dos horas probando un plato peor que otro eviten este restaurante !! Aparte un precio q jamás va con...lo q se consume !!! No lo recomiendo a nadieMás"
"La Tapería","Pésimo servicio al cliente","Hice una reserva al número que aparece en la página, que es del dueño del lugar. Me confirmaron la reserva y cuando llegué al lugar me indicaron que no estaba registrada. En el lugar no me dieron solución. Le escribí al mismo número y no...volvió a responder. El peor servicio al clienteMás"
"Casa Santa Clara","Pésimo","Más allá de que el plato qué pedí no sabía a nada, lo que en realidad me molestó es que no les importó mi queja. La carne de conejo estaba dura, con gordos y huesos, con unos acompañamientos desabridos. Lo único que hicieron fue mandar...Más"
"Caballete & Berenjena Vegan Food","Muy decepcionante. Atención terrible","La experiencia en este restaurante fue muy decepcionante, desde el ambiente general, pasando por la atención de un mesero amable pero poco experimentado, una carta limitada, por no citar otras cosas. No tenían el plato que pedimos, y finalmente lo prepararon pero cambiando los ingredientes...Más"
"Entre Cuates","Peor restaurante mexicano","Es el peor restaurante mexicano en el que he estado, desde la entrada el restaurante es despedidor la iluminacion es tan exageranda que casi toca usar gafas, la atencion muy regular, pero hablemos de la comida,PESIMA una entrada que se llama chicharrón de queso que...Más"
"Cervecería Statua Rota","Desastrosa experiencia, no cumplen nada.","Fui el jueves 14 de enero en la noche con mi esposa. Había oído y leído buenas opiniones sobre el sitio y decidimos ir a probar. Tan pronto llegamos nos llevaron a la mesa 3 copas con pruebas de las tres cervezas que fabrican. Ninguna...Más"
"El Corral Gourmet","No nos atendieron","Ya habiamos ido varias veces antes a este corral y el servicio habia sido normal no muy bueno,  pero el dia de hoy fuimos y esperamos aproximadamente 10 minutos sin que nadie nos atendieran a pesar que el local estaba practicamente solo. Nos toco decirle...Más"
"El Cielo Bogota","Perdida de dinero","Aunque es una experiencia entretenida. Es demasiado costosa para las porciones que sirven. No volveríaMás"
"Il Magazzino Italiano","No gracias!!!!","En nuestra visita a bogota pasamos por esta aproximacion  a restaurante italiano la.comida la trajeron cruda los dos.platos pedimos nos lo cambien
Asi lo hicieron y crudo nuevamente 
Un mal lugar no regresariamos jamas 
Lo unico bueno la atencion de el mesero"
"Burger Bar by El Corral","De lo peor","Fuimos con la familia y pedimos varios platos y la presentación es muy sencilla, para ser ""gourmet "" es pobre y quitan las ganas de comer, de bebidas pedimos unas cervezas del barril y al pedir otra ronda cual fue nuestra sorpresa al ver que...Más"
"La Chorizeria","Mal servicio al cliente","No lo recomiendo.
Un domingo lluvioso por casualidad entramos con un grupo de amigos, nos recibió una mesera muy amable, sin embargo debido al cambio de turno, el pedido nos lo llevo un mesero diferente, el cual no sé aseguró de que todos recibiéramos nuestra...Más"
"Leo","nunca pudimos encontrar, este sitio","Imposible ubicar geograficamente , esta direccion ni con gps pudimos, en el sector nadie lo conoce, convendria , ubicar senales"
"Kfc","Mala informacion","No le aclaran al cliente lo picante de los productos y lamentablemente mi hijo de solo 12 años  comio de sus productos y se puso muy mal por el picante q manejaba el producto deberian informar bien por q uno va con niños y ellos...Más"
"restaurante mirador la paloma","Los precios son un robo","Son unos ladrones con los
Precios, la vista está cerrada y además el lugar está súper mal tenido. El baño no servia. Pueden creer que cobraron 15,000 por cada limonada? Y ni siquiera era limón natural!"
"El Corral Gourmet","Pésima segunda oportunidad","Hace unos meses tuve una mala experiencia en el local del C. C. Bazaar pero, fuimos unos amigos, mi pareja y yo, ya que quisimos darle una segunda oportunidad al sitio pero pasó lo mismo: mas de 40 minutos sin que llegara el pedido (viendo...Más"
"Coctel del Mar","Comida no estaba fresca","La paella está hecha con arroz común y los mariscos ninguno estaba fresco. Incluso algunos ya tenían un sabor agrio. La ensalada no trae ningún tipo de aderezo y al pedirlo nos dicen que no tienen. La parrillada de mariscos llegó llena de aceite y...Más"
"La Santa Guadalupe Bogota","No lo recomiendo","Me parece que ha sido una total estafa, no se correspondo la calidad de la comida con el precio cobrado, el vino de la casa es muy malo y el camarero debe informar cuando una comida es fría o caliente. Nosotros todo fue frío y...Más"
"El Techo","Pesimo servicio","Hice una reserva con 8 días de anterioridad, al momento en que llegamos al restaurante nos comunican que hay una fiesta y que ningún reserva es valida, pido hablar con la administradora y me mandan a un mesero, le pido que quiero hablar con al...Más"
"La Mar","Qué decepción barbacoa desilusión","Vine aquí con mis dos hijos (7 años) para tener un buen almuerzo. Y puede suponer ""oye ¿por qué estamos yendo a este restaurante con niños? ""Pero déjame decirte que yo uso para llevar mis hijos a buenos restaurantes causa ya que estaban realmente poco,...mi ex y yo pensamos que tendrían que aprender a comer de todo en cualquier lugar. De hecho, si les preguntas donde quieren comer, el último lugar que diría es McDonald's.

Bien, pedimos el pulpo a la brasa, sushi, tempura y arroz cubano la muestra de ceviche. Para pedir una botella de tamaño drinkI de un español vino rosado, mis hijos tenían una limonada de menta y una limonada de cereza. Pero espera, cuando el último limonada llegó mi hijo entiendas que en realidad no venía con un cerezo, así que él amablemente pedir uno. El camarero trajo algunos para él y todo estaba bien.

Después de las comidas, (la comida era buena), mi hijo preguntó de nuevo otra limonada de cereza, y él (el camarero) sin olvidar las cerezas, y fue cuando me enojé mucho. El camarero empieza a decirnos que la última vez, el camarero nos dio las cerezas porque él era ser bueno, pero esta vez íbamos a tener un problema. Él era que las dos adicionales inferring cerezas tendrá un costo.

No sé si tienes hijos, pero son las personas más valiosas de la vida. Así que no quiero perjudicar con ellos. Segundo, no decir ""problema"" en un restaurante, simplemente arreglarlo. Y la tercera no será tal, sobre dos cerezas cuando sabes que no vas a ser se rompió. (Este es un lugar caro).

En conclusión, mal, muy mal servicio al cliente. Se nota la falta de formación del personal y la falta de gestión. ¿lo que el gerente vino a disculparse después? No, por supuesto.

No vayas a este lugar, aunque la comida es buena hay un montón, y me refiero a un montón de buenos lugares para comer en Bogotá, fueron realmente valor la experiencia del cliente por encima que sirve comida.Más"
"Crepes & Waffles","No nos guardaron la reserva","Llegamos y no nos habían guardado la reserva, nadie nos respondió ni quisieron asumir la responsabilidad de su falta. Terrible la situación en el crepes de la calle de san pedro en la ciudad de Cartagena"
"Archie's","ofensiva/ofensivo","Esta noche mi madre y yo decidimos comer en. Ve a Archies. El restaurante era ruidoso y ajetreado. Pasamos 5 minutos esperando a ser asignados una mesa, pero nadie vino. Vimos una mesa vacía y se sentó. Después de 10 minutos nadie vino a darnos...el menú, parecía que era un restaurante sin camareros. Un hombre foreing vino a nosotros y nos exigieron que estar de pie y dejar que porque era su sitio. Fue muy desagradable. Finalmente encontramos el camarero y nos dijeron que teníamos que esperar 20 minutos, sin embargo, par foreing popularísimo que llegamos estaba sentado inmediatamente faet. Me pregunto, es sólo para las personas. Ve a Archies iluminadas de la piel? ¿Necesita un pasaporte para conseguir una mesa?Más"
"Central Cevicheria av. 19","Mucha demanda poca atención","Porción nada generosa. El restaurante es muy popular, sin embargo, al haber decenas de mesas. La atención es insuficiente. Te presionan para ordenar y el servicio se tarda. Muchas mesas para el espacio. poca atención. Porciones insultantes."
"La Romana: Av. Jiménez","ABUSIVAS","La comida relativamente buena pero que tristeza la forma en como explotan a las personas que trabajan ahi, que tristeza que no se quiera dar cuenta el dueño de dos de las encargadas que son unas mujeres que por tener años ahi humillan a las...Más"
"La Granja Naranja","No hay peor servicio que aqui","El lugar es bonito pero la atención es terrible. 2 horas de espera para que nos asignaran una mesa y después una hora para que nos trajeran unas hamburguesas que habíamos pedido. La comida muy normal. Vinimos por traer a las peques de la familia...Más"
"El Panoptico","Bamboo","Un plato insípido y con una mezcla de sabores totalmente desafortunada.  La mesera estuvo muy preocupada por ayudarme, lindo detalle. Eso si, me tomé una cerveza fria deliciosa. Tienen que repensar el plato."
"Jeno's Pizza","La peor pizza","Es increíble que por 45.000 pesos nos den una pizza grande que parece un pedazo de cartón, un robo de frente. Además es muy demorada la entrega."
"Buffalo Wings","Horrible.","La verdad no entiendo como unos cubitos de pechuga de pollo fritos pueden quedar feos. Pero Buffalo Wings lo logró. Que comida mas horrible y cara. Decepción total. Guacalas"
"Barra Cafe Restaurante Aeropuerto El Dorado","sin conexion de luz","muy escazos los conectores de luz de la. zons de restaurantes del aeropuerto. y el unici que hay esta dañado y es peligroso"
"Suna Restaurante y Mercado","Experiencia Vegana lamentable ,  evitar repetir","Fui a conocer el restaurante por recomendacion de Tripavisor ( dia lunes festivo ) al cruzar  los resultados de  ( restaurante con opciones veganas ) . Restaurante pequeño , con dificultades para estacionar y tomar el servicio de valet parking . 
Solicite de entrada la...Más"
"Restaurante Daniel","Pésima Experiencia","A pesar de haber realizado una reserva con anticipación y haberla confirmado fuimos recibidos  con una actitud displicente y grosera por parte de los empleados, pueden tener buenos precios y una carta interesante pero lo que queremos además una agradable comida es una atención afectuosa...Más"
"Mesa Franca","Mal servicio","Tienen que prestar más atención al servicio. El día de ayer fui con mi novia a comer allí, desde que llegamos la persona que nos recibió ( posiblemente la anfitriona) en mi manera de ver tenía una actitud hostil y despreocupada. Cuando nos ubicaron en...la mesa e hicimos nuestro pedido, el plato que primero llegó fue el mio( empecé a comer) pasaron  aproximadamente 35 minutos para que nos trajeran el segundo plato,  en el momento en que llegó, yo ya había terminado mi comida, ( cuando le aclaramos a la persona que nos atendió que nos trajera ambos pedidos al mismo tiempo).  Aparte de ello, mi novia le indico a la mesera de una manera muy amable , que prendieran la calefacción ya que estaba lloviendo y haciendo frío ( nunca lo prendió ).  Finalmente, terminamos nuestra comida, nos movimos hacia la barra y nos tomamos dos cócteles; terminamos de beberlos y pedimos la cuenta, para mí sorpresa,  me estaban haciendo un cobro de diez mil pesos más por el plato que yo me había comido, se lo comunicamos al bartender y lo corrigieron. No tengo quejas hacerca de la comida, tengo que decir que estaba deliciosa, pero una parte muy importante de ir a un restaurante es la experiencia que se tiene al momento de comer. La verdad me sentí incómodo. Por favor presten un poco más de atención a los comensales, y a la manera como los tratan. Un saludo, y por favor no borren las críticas del perfil de Instagram es bueno escuchar a los comensales para prestar un mejor servicio y mejorarMás"
"La Cesta","Terrible todo ! Triste tener que escribirlo pero peor es vivirlo …","Entramos a desayunar a las 9 am. Dos de los platos que pedimos NO LO HABÍAN …, el café es tan Aguado que hay que pedir un espresso para poderlo revolver y que sepa a un americano! …. Y lo peor fue el plato que...recomendó la mesera (que no fue atenta para nada), unos huevos italianos que llegaron flotando en un líquido q supuestamente  era queso/ INCOMIBLE . Lo devolví pero aún así lo cobraron … No quise especular y pedí tres pan de yucas : dos llegaron recalentados y uno llegó frío! Para NO VOLVER NUNCA y sobre todo que el perosnal no le importó nada de lo que se les comentó sobre la experiencia …Más"
"Jabalí - Culto al Cerdo","Nunca hay nada","El lugar tiene buena fama, pero es solo eso, ""Fama"". En realidad nunca he podido comer en Jabalí, porque aunque lo he intentado 2 veces, siempre que voy el 90% del menú está ""No disponible"" (y eso que el menu tiene como 3 o 4...Más"
"La Biferia Usaquen","La peor experiencia al cliente.","La peor experiencia al cliente. En la plataforma se pueden hacer reservas pero cuando llegas, dicen que no se puede reservar después de las 2:00 pm. 

La hostess vive con cara de amargada y es muy displiscente en la entrada. 

Creen que le están haciendo...un favor al cliente. La comida se demora eternidades. El precio es muy caro para lo que ofrecen. 

No recomiendo para nada este lugar.Más"
"Isola - Trattoria Bar","MAL SERVICIO!!!","Fuimos a cenar y tomarnos algo. El servicio fue muy malo. Solo una persona atendiendo a mucha gente en el segundo piso. Se demoraron 2 horas en servirnos el plato que pedimos. Luego nos movieron de mesa sin haber terminado las bebidas y alimentos. No...Más"
"Cabrera Resto-Bar","Un bar discoteca con una comida terrible.","Definitivamente si usted quiere descubrir un sitio interesante para comer, este no es el lugar. Al ver tan buenos comentarios lo intenté tres veces. Claramente Cabrera es mas un bar que un buen restaurante. Mucha gente tomando licor. Los platos dejan muchoo que desear. Los...Más"
"Papa John's Pizza","Pedido a domicilio","Tomadura de pelo total! Me cobraron inmediatamente el pedido online, y tardaron dos horas y media en traer el pedido, después de llamar 2 veces. Es una vergüenza el trato al cliente, desde luego no repetiría. Son unos estafadores, rápidos para cobrar y luego desentenderse...Más"
"Frisby","pesimo servicio de frisby metro buga","el dia de hoy 01 de nov 2020 hice un pedido por la app de frisby pague en el linea por PSE y nunca me llego mi pedido, Esa linea de Frisby sirve para nada porq solo me pusieron a esperar y esperar en linea...y nunca me dieron solucion lo unico q dijeron es calmese y acerquese al punto a q le hagan la devolucion, que falta de respeto de verdad se supone q se hace esto en linea para nosalir de casa. Primero evitar la propagacion del virus y segundo por la comodidad, le dije q asi como le pague en linea me devolviera mi dinero y no solo decia calmese y acerquese al punto. Fuera de eso llamo al mensajero y no responde el celular y se burla por el telefono.
Yo era cliente de Frisby de cada 8 dias pero jamas volvere a comprar alli.
Que indignacion¡¡¡Más"
"Jungla Kumba","Mala comida y juegos muy básicos.","Todo el presupuesto de lo gastaron en la decoración y nada en los juegos y mucho menos en la comida. 

La comida: Los platos son aburridos, sin sabor, casi todo son de paquetes no hay comida fresca. Y por supuesto le cobran a uno como...Más"
"Santa Costilla","Sede Zona Rosa Santa Costilla. Pésimo servicio.","Una hora y veinte minutos y nunca llegó el pedido. No deberían exponer su marca en un local que no es administrado por ustedes y que no cuenta con la capacidad ni el personal para dar un buen servicio."
"El Gato Gris","La comida cruda y tardaron años","Para empezar nos dieron una mesa horrible que pedimos cambiar y nos negaron , tuvimos que buscar nosotros mismos la mesa para cambiarnos, luego tardaron años en traer la comida , que aparte de insípida estaba CRUDA! 

Muy mal manejo del lugar , las bebidas...Más"
"Jungla Kumba","Que Estafa de Restaurante","Los precios son super elevados y la comida pésima, pedí un bife chorizo en su punto y me trajeron un corte grueso cocinado con apariencia de ser a la parrilla, sin sabor y con 5 cascos de papa, $36000 un jugo supera los $8000  mucha...Más"
"Coctel del Mar","Pésima atención al cliente","Irrespetuosa la actitud del vigilante a la salida del restaurante. Tanto meseros (de los cuales no tenemos queja) como personas de seguridad deben aprender tener buen trato y atención al cliente."
"La Bruja","Servicio pobre","Se tardó una hora después de la orden de ser llevado por el entrante, una vez que la red venía era otro 30 minutos. Fue hecha. Y todo a desagradables durante todo el año. Fueron enormemente escaso

hubo una banda en vivo que estaban fuera...de tono y demasiado alta para el pequeño restaurante medianoMás"
"Buffet King Bogota San Martin","Ingredientes de pésima calidad","Muy mala la calidad de los ingredientes, demasiado dulce la comida, poca variedad, dicen que es menú con comida de diferentes lugares y en realidad es solo comida china,  nunca volveremos."
"La Molina","Caro y pésimo","Llegamos hacia las 2pm. Nos dio impresión de desaseo. Pedí un pulpo y me trajeron un lomo saltado! Por La prisa lo acepté.  La carne estaba muy dura. Pedimos también los mariscos salteados. Estaban también duros y chicludos. Las porciones son pequeñas. Pedimos Coca-Cola light...Más"
"Dos Chingones","Almuerzo","Pésimo tres horas y media esperando el almuerzo, nada recomendable el sitio y saca. Disculpas tontas"
"La Hamburgueseria","Pésimo","Fui a la hamburgueseria de cedritos y desde el servicio hasta la comida fue terrible; primero los meseros no atendian con ganas y fuera de eso al pedir la hamburguesa era gol de yepes, la trajeron con el pan quemado y las cebollas moradas super...Más"
"restaurante mirador la paloma","Estafa!","Fui hace un tiempo con algunos amigos, habíamos escuchado algunos comentarios negativos del lugar, como que cobraban un cover injusto sin avisar así que le preguntamos a la señora de la entrada si esa noche había y nos contestó con mucha seguridad que NO. Más...Más"
"La Picaderia","PÉSIMO SERVICIO 0 HIGIENE","Es un servicio pésimo pésimo, en tiempos de pandemia pedimos unas carimañolas y las llevaron a la mesa equivocada y luego después de unos minutos ( cuando ya las personas de esa mesa hable y hable encima de la comida ) las quitaron de esa...Más"
"Poke","Sitio inseguro (roban) con buena comida","Robaron la maleta de mi hijo que estaba con 4 amigos adolescentes hoy al medio día y la cámara que los enfocaba estaba dañada, así que no se supo nada a pesar de llamar a la Policía. La comida fue buena pero tengan cuidados con...Más"
"Viva la Pizza","Muy mala","Los domicilios, la comida y la presentación pésima. La pizza parece que la hubiera hecho un principiante. Llego tarde y totalmente fría"
"Castanyoles","Muy malo este restaurante del Four Season!.","El restaurante es bonito y tienes tragos interesantes (diferentes sangrías) sin embargo, la comida es de terror!!!. Podría tomar algo mas del bar pero no lo hago por miedo a que me obliguen a probar sabores tan extraños en platos tan sencillos.Más"
"Gringo Cantina","Pésima Experiencia","Tenía ganas de conocer este restaurante desde hace rato. Experiencia surrealista la que me llevé  Debido las alergias de mi novia, las cuales informamos en numerosas ocasiones, pedimos que nos pusieran las salsas de los nachos aparte en acuerdo con el primer mesero que nos...guió en la elección de los platos. Al traer el plato a la mesa, este no venía con las salsas aparte y quedaron de traernos el plato nuevamente. Mientras nos cambiaban el plato, el nuevo gerente del lugar, que por cierto fue el mismo que tomó el pedido, paró la orden y nos recriminó nuestra elección y el haber venido al local de manera ruda y levantando el tono de la voz. Le preguntamos si había algún plato que podíamos pedir, y este nos gritó que NO. Nos fuimos enseguida sin que mi novia mi novia comiera, cancelando las bebidas y el otro plato que nos trajeron. Seguiremos yendo a la Taquería.Más"
"restaurante mirador la paloma","Atraco total","Aparte de que el lugar es feo, la comida es pésima, los meseros desatentos y cobran cover solo por la entrada!!! Ni siquiera es una discoteca!!! Supuestamente hay música en vivo pero solo tocaron dos canciones!
Cover por la vista???? Para eso me parqueo más...Más"
"14 Inkas","Malo muy malo","Es increíble cómo un restaurante daña tanto el servicio como la comida ,, en la primera vez que estuvimos qué rico la pasamos , pero en esta parecía todo estar de acuerdo para pasar un mal rato el servicio y la comida muy malo lo...Más"
"Frisby","Tiempo de envío","El día de hoy solicité un pedido en Sabaneta Antioquia,  se tardaron más de 1:20 min en enviar un pedido,esto ya es el colmo del mal servicio, por favor en este caso deben respetar más a sus clientes."
"Jungla Kumba","Horrible","Muy mala atención,  comida demorada y de mal gusto,  atención pésima por parte del personal. Creo que es muy caro para la experiencia que ofrecen a los clientes por mi parte no regresaría"
"Ventura Soup & Salad","Decepcionante","Fuimos aquí porque estábamos deseando sopa, y como el lugar tenía la palabra sopa en su nombre, ¡pensamos que este era el lugar! Pero no volveré.
Pedimos un aperitivo que obtuvimos después de que obtuvimos nuestra sopa, y no sabía nada. Me dieron la sopa...de verduras que sabía a sopa enlatada. Mi compañero consiguió la sopa de tomate, que era un poco mejor, pero todavía no era bueno. Y también, los vimos calentar la sopa en el microondas, algo que no espero de los restaurantes.
Lo único bueno fue el pan que obtuvimos antes de que llegara nuestra sopa.Más"
"Coctel del Mar","Great Food Bad Service","La comida estuvo excelente pero el servicio no fue lo que esperaba, terminamos nuestra entrada y nos tocaba llamar a los meseros para que recogieran los platos, no estaban al pendiente de nuestro servicio, cuando terminamos en ese momento se aparecían para preguntar que si...Más"
"Petronio Cocina de Autor","Muy mala experiencia","Las reservas no sirven. Hubo que esperar más de media hora en la calle y siempre nos decían que ya van salir las mesas"
"Seiki Sushi","Demasiado costoso","Ese plato costó 40 mil o más se supone que son 6 bocados de Sashimi, excepto el Maki todo fue demasiado poquito, ni los niños de 7 y 11 años quedaron bien. La comida rica pero my muy poquita"
"El Corral Gourmet","Una amarga experiencia 
Tal","Una amarga experiencia 
Tal vez por la pandemia , pero la verdad que desilusión . Mal servicio platos mal servidos y la coMida, algo por lo que añoraba volver a este lugar una amarga desilusión . Mejor ir a un corral normal .  Menú incompleto..., papas grasosas y viejas. No lo recomiendo por ahora . Si se van a arriesgar a salir , mejor probar otro lugarMás"
"Tramonti","Pesimo","El mesero un igualado, la comida pesima, los precios exorbitantes, no lo recomiendo para nada. Seria mejor gastarse el dinero q van a utilizar ahí en empanadas o tamales."
